topleft_x,topleft_y,rightdown_x,rightdown_y,nose_x,nose_y,leftear_x,leftear_y,rightear_x,rightear_y,leftHip_x,leftHip_y,rightHip_x,rightHip_y,tailBase_x,tailBase_y,tailEnd_x,tailEnd_y,center_x,center_y
128.54935738059714,65.82093679215625,343.96829063546954,200.680473538983,132.3771036513387,77.05997663581519,154.3633546682922,95.19789698262724,167.80713324256655,71.88016420332124,201.12091971118699,150.99389732785735,213.72917938276495,129.84316521360023,229.9175556232856,149.81539164888756,332.78050391140914,187.13734633749874,236.25882400803334,133.25070516556963
182.8120859045582,143.60222797587463,283.59897701476996,347.4087874770195,259.30317967257247,335.5237162579187,252.6748450675607,305.47525144772936,229.9175556232856,315.4884588032104,225.59586306380695,253.80071135666623,198.69366293096436,267.84394673602657,206.5151109056004,233.04078693884424,248.00850451401746,148.88741458362426,233.2055314596641,245.50550772644704
323.28193070825114,157.5192625585675,470.4613242767652,335.4105525839624,381.93624911104337,324.59137458092044,418.3346128126248,298.6397524836601,389.6587656866808,282.70466259419544,451.6018160552001,253.94901901269898,417.02403550916057,244.41256898614893,430.1817027329066,222.63871787056792,346.43487757797425,164.3800568932236,396.8716274925082,246.46490757126494
26.225607761603868,191.68563010153105,183.76873363247813,313.04063200998667,74.51844605057119,308.047808674426,70.61652951335975,269.06358833688915,36.02544955806158,273.6150462257442,116.98084676522572,242.02025965723632,77.787092561317,210.68155488750597,125.23402417962004,223.80975967446633,173.47947780148328,247.21659047038506,104.997170697041,252.36313105575886
329.32166093164193,185.93803283349447,546.8752312246855,299.70286715533445,535.7755257543431,290.9105862033933,532.401727646008,254.46028488915155,519.0456327449131,281.4939363788525,468.4417603409482,222.54598618240422,455.720861174195,256.8387873722323,432.00228588844857,225.36959260388093,337.3396894409444,192.59909580412477,438.09844607816376,242.82044999441445
288.8287274514603,160.6768149077189,372.816746782132,269.21522326196913,359.6417897352063,184.6767462643121,335.00589437024394,171.60463851963817,348.80992522277546,182.81158537405562,301.43977853533806,199.8773877212991,320.358755638179,211.52838784394552,299.35971410991505,219.87088249997268,301.82285163376395,261.8524592953678,330.82273711679613,214.946019084844
414.3204180169527,203.3202010887589,536.7316496518978,312.5196478115622,421.9222638439179,233.6636235910517,438.37432693284563,213.43439530562614,449.91134880068125,209.52165114956009,466.15077708932336,246.271706794432,493.5911274898026,235.13633618330408,500.37556100850566,268.8607747624257,487.76747780512545,302.0023066129267,475.5260338344252,257.9199244501606
198.53673788029425,203.80503198351792,390.12865545805545,284.21065785911986,376.7417868726467,235.70051462965486,341.2984177905969,210.37878279616905,351.25362269505865,217.5526855252542,280.7148992370754,222.99928497396843,291.0029688297417,242.34741791123713,264.5086355785837,240.84454942598802,219.90434826780452,271.79446307020214,294.3326966691749,244.0078449213189
336.0505937194262,237.96194378862577,557.1745333707124,331.29703525886697,534.8422848607752,252.052354455333,528.4931931321752,273.6150462257442,547.6093162653663,288.1797114700803,475.26280497268374,280.4205639189143,479.5388710719754,313.9980803753552,447.45429339475874,287.59962461999606,342.429082565508,246.94375903219068,446.6125635450693,284.6294895237464
334.4891745961503,231.29623376374784,554.7888729320146,334.2425012594885,531.7631711324166,244.6252991164348,520.7602840188509,279.0767956923702,546.6990246875952,284.53854515899627,477.6508229718771,286.03664191021716,484.60132493996514,314.995254167876,447.47724271055574,293.64146093670627,341.88341968911914,241.75484100375903,444.6390237640824,282.76936751161816
185.24990223519026,113.15067553738318,407.32545638446686,178.1495351453413,193.17717039674196,167.16783770354107,206.24997460123947,151.63597480442957,199.56818013347376,130.99005324673027,256.83442041769626,148.90510007111652,246.85915044688483,117.70233908053821,288.79572344736715,140.4027224478089,393.7700396220664,162.888195853385,296.28767930982855,145.65010534136223
286.57637714578794,114.15598254158581,424.1328623685203,239.67602937441717,356.4480849334552,226.27988418165194,356.4480849334552,189.86822107081176,332.78050391140914,197.1505536929798,338.04849430915516,147.98607163051804,304.118097369282,155.9203504052837,325.4981712892411,129.78897693792544,417.4376206441125,133.43014324900946,355.3546197571541,176.9160059580015
285.7826665900985,123.50899471490412,475.0070254639856,230.32420907380663,460.22132479934976,142.5330590267195,438.37432693284563,149.81539164888756,458.4007416438078,173.48297267093366,377.35365637053775,174.5785033361027,376.165394017205,212.70278692188995,346.43487757797425,189.86822107081176,296.36884080056893,131.60956009346745,380.39484602704204,176.91660189435538
